0.500000	1.000000
0.554889	0.995781
0.609115	0.983195
0.662022	0.962455
0.712970	0.933910
0.761344	0.898042
0.806558	0.855457
0.848068	0.806873
0.885369	0.753111
0.918013	0.695076
0.945604	0.633750
0.967808	0.570166
0.984358	0.505399
0.995052	0.440540
0.999763	0.376684
0.998433	0.314910
0.991077	0.256260
0.977786	0.201722
0.958719	0.152219
0.934107	0.108585
0.904248	0.071556
0.869503	0.041758
0.830291	0.019693
0.787086	0.005734
0.740411	0.000117
0.690830	0.002935
0.638943	0.014142
0.585376	0.033549
0.530777	0.060827
0.475806	0.095517
0.421127	0.137033
0.367402	0.184675
0.315280	0.237638
0.265390	0.295029
0.218336	0.355879
0.174687	0.419161
0.134971	0.483808
0.099667	0.548727
0.069202	0.612825
0.043944	0.675018
0.024199	0.734258
0.010205	0.789544
0.002132	0.839944
0.000078	0.884607
0.004066	0.922779
0.014048	0.953816
0.029905	0.977195
0.051445	0.992520
0.078406	0.999534
0.110464	0.998117
0.147230	0.988294
0.188260	0.970230
0.233059	0.944231
0.281084	0.910735
0.331756	0.870307
0.384461	0.823629
0.438563	0.771491
0.493408	0.714770
0.548332	0.654425
0.602672	0.591473
0.655771	0.526978
0.706987	0.462028
0.755701	0.397719
0.801324	0.335135
0.843305	0.275334
0.881136	0.219325
0.914359	0.168052
0.942575	0.122381
0.965440	0.083083
0.982679	0.050821
0.994084	0.026139
0.999516	0.009455
0.998911	0.001049
0.992274	0.001063
0.979687	0.009498
0.961302	0.026210
0.937341	0.050918
0.908093	0.083205
0.873912	0.122526
0.835211	0.168217
0.792459	0.219507
0.746171	0.275531
0.696907	0.335344
0.645264	0.397935
0.591864	0.462248
0.537354	0.527199
0.482393	0.591690
0.427644	0.654635
0.373770	0.714969
0.321422	0.771676
0.271232	0.823798
0.223808	0.870455
0.179722	0.910861
0.139508	0.944332
0.103651	0.970305
0.072585	0.988341
0.046686	0.998136
0.026266	0.999524
0.011573	0.992482
0.002784	0.977129
0.000005	0.953724
0.003270	0.922661
0.012539	0.884466
0.027701	0.839782
0.048571	0.789364
0.074899	0.734063
0.106364	0.674811
0.142589	0.612610
0.183133	0.548508
0.227508	0.483587
0.275176	0.418943
0.325562	0.355668
0.378057	0.294828
0.432026	0.237450
0.486816	0.184504
0.541766	0.136882
0.596211	0.095388
0.649493	0.060722
0.700968	0.033469
0.750013	0.014090
0.796037	0.002911
0.838482	0.000121
0.876835	0.005768
0.910634	0.019755
0.939469	0.041846
0.962991	0.071670
